j=0,k=0	-0.70710678	-0.70710678
j=1,k=0 -0.5		-0.8660254
j=2,k=0	0.0		-1.0
j=3,k=0	0.5		-0.8660254
j=4,k=0	-0.70710678	-0.70710678
j=0,k=1	-0.8660254	-0.5
j=1,k=1 -0.57945931 	-0.57945931
j=2,k=1	0.0		-0.64644661
j=3,k=1	0.57945931 	-0.57945931
j=4,k=1	0.8660254	-0.5
j=0,k=2	-1.0		0.0
j=1,k=2 -0.64644661	0.0
j=2,k=2	0.0		0.0
j=3,k=2 0.64644661	0.0
j=4,k=2	1.0		0.0
j=0,k=3	-0.8660254	0.5
j=1,k=3 -0.57945931 	0.57945931
j=2,k=3	0.0		0.64644661
j=3,k=3 0.57945931 	0.57945931
j=4,k=3	0.8660254	0.5
j=0,k=4	-0.70710678	0.70710678
j=1,k=4 -0.5		0.8660254
j=2,k=4	0.0		1.0
j=3,k=4 0.5		0.8660254
j=4,k=4 0.70710678	0.70710678


